season,posteam,week,game_id,player_id,full_name,position,pass_attempt,rec_attempt,rush_attempt,pass_air_yards,rec_air_yards,pass_completions,receptions,pass_completions_exp,receptions_exp,pass_yards_gained,rec_yards_gained,rush_yards_gained,pass_yards_gained_exp,rec_yards_gained_exp,rush_yards_gained_exp,pass_touchdown,rec_touchdown,rush_touchdown,pass_touchdown_exp,rec_touchdown_exp,rush_touchdown_exp,pass_two_point_conv,rec_two_point_conv,rush_two_point_conv,pass_two_point_conv_exp,rec_two_point_conv_exp,rush_two_point_conv_exp,pass_first_down,rec_first_down,rush_first_down,pass_first_down_exp,rec_first_down_exp,rush_first_down_exp,pass_interception,rec_interception,pass_interception_exp,rec_interception_exp,rec_fumble_lost,rush_fumble_lost,pass_fantasy_points_exp,rec_fantasy_points_exp,rush_fantasy_points_exp,pass_fantasy_points,rec_fantasy_points,rush_fantasy_points,total_yards_gained,total_yards_gained_exp,total_touchdown,total_touchdown_exp,total_first_down,total_first_down_exp,total_fantasy_points,total_fantasy_points_exp,pass_completions_diff,receptions_diff,pass_yards_gained_diff,rec_yards_gained_diff,rush_yards_gained_diff,pass_touchdown_diff,rec_touchdown_diff,rush_touchdown_diff,pass_two_point_conv_diff,rec_two_point_conv_diff,rush_two_point_conv_diff,pass_first_down_diff,rec_first_down_diff,rush_first_down_diff,pass_interception_diff,rec_interception_diff,pass_fantasy_points_diff,rec_fantasy_points_diff,rush_fantasy_points_diff,total_yards_gained_diff,total_touchdown_diff,total_first_down_diff,total_fantasy_points_diff,pass_attempt_team,rec_attempt_team,rush_attempt_team,pass_air_yards_team,rec_air_yards_team,pass_completions_team,receptions_team,pass_completions_exp_team,receptions_exp_team,pass_yards_gained_team,rec_yards_gained_team,rush_yards_gained_team,pass_yards_gained_exp_team,rec_yards_gained_exp_team,rush_yards_gained_exp_team,pass_touchdown_team,rec_touchdown_team,rush_touchdown_team,pass_touchdown_exp_team,rec_touchdown_exp_team,rush_touchdown_exp_team,pass_two_point_conv_team,rec_two_point_conv_team,rush_two_point_conv_team,pass_two_point_conv_exp_team,rec_two_point_conv_exp_team,rush_two_point_conv_exp_team,pass_first_down_team,rec_first_down_team,rush_first_down_team,pass_first_down_exp_team,rec_first_down_exp_team,rush_first_down_exp_team,pass_interception_team,rec_interception_team,pass_interception_exp_team,rec_interception_exp_team,rec_fumble_lost_team,rush_fumble_lost_team,pass_fantasy_points_exp_team,rec_fantasy_points_exp_team,rush_fantasy_points_exp_team,pass_fantasy_points_team,rec_fantasy_points_team,rush_fantasy_points_team,pass_completions_diff_team,receptions_diff_team,pass_yards_gained_diff_team,rec_yards_gained_diff_team,rush_yards_gained_diff_team,pass_touchdown_diff_team,rec_touchdown_diff_team,rush_touchdown_diff_team,pass_two_point_conv_diff_team,rec_two_point_conv_diff_team,rush_two_point_conv_diff_team,pass_first_down_diff_team,rec_first_down_diff_team,rush_first_down_diff_team,pass_interception_diff_team,rec_interception_diff_team,pass_fantasy_points_diff_team,rec_fantasy_points_diff_team,rush_fantasy_points_diff_team,total_yards_gained_team,total_yards_gained_exp_team,total_yards_gained_diff_team,total_touchdown_team,total_touchdown_exp_team,total_touchdown_diff_team,total_first_down_team,total_first_down_exp_team,total_first_down_diff_team,total_fantasy_points_team,total_fantasy_points_exp_team,total_fantasy_points_diff_team
2020,SF,1,2020_01_ARI_SF,00-0031345,Jimmy Garoppolo,QB,33,0,1,220,0,19,0,22.24,0,259,0,9,228.15,0,7.04,2,0,0,2.24,0,0,0,0,0,0,0,0,10,0,0,11.29,0,0.32,0,0,0.58,0,0,0,16.94,0,0.72,18.36,0,0.9,268,235.19,2,2.24,10,11.61,19.259999999999998,17.66,-3.2399999999999984,0,30.849999999999994,0,1.96,-0.2400000000000002,0,0,0,0,0,-1.2899999999999991,0,-0.32,-0.58,0,1.4199999999999982,0,0.18000000000000005,32.81,-0.2400000000000002,-1.6099999999999994,1.5999999999999979,33,33,25,220,220,19,19,22.24,22.240000000000002,259,259,123,228.15,228.16,116.41,2,2,0,2.24,2.25,0.9299999999999999,0,0,0,0,0,0,10,10,6,11.29,11.31,7.08,0,0,0.58,0.59,0,0,16.94,58.519999999999996,17.19,18.36,56.9,12.299999999999999,-3.2399999999999984,-3.2400000000000007,30.849999999999994,30.839999999999996,6.590000000000007,-0.2400000000000002,-0.25,-0.9299999999999999,0,0,0,-1.2899999999999991,-1.31,-1.0799999999999998,-0.58,-0.59,1.4199999999999982,-1.6199999999999963,-4.890000000000001,382,344.57,37.43000000000001,2,3.1799999999999997,-1.18,16,18.39,-2.3899999999999997,69.2,75.71,-6.509999999999997
2020,SF,1,2020_01_ARI_SF,00-0033288,George Kittle,TE,0,5,1,0,26,0,4,0,3.93,0,44,9,0,38.61,5.87,0,0,0,0,0.23,0.09,0,0,0,0,0,0,0,1,1,0,1.12,0.51,0,0,0,0.08,0,0,0,9.16,1.12,0,8.4,0.9,53,44.48,0,0.32,2,1.6300000000000001,9.3,10.280000000000001,0,0.06999999999999984,0,5.390000000000001,3.13,0,-0.23,-0.09,0,0,0,0,-0.1200000000000001,0.49,0,-0.08,0,-0.7599999999999998,-0.22000000000000008,8.520000000000003,-0.32,0.3699999999999999,-0.9800000000000004,33,33,25,220,220,19,19,22.24,22.240000000000002,259,259,123,228.15,228.16,116.41,2,2,0,2.24,2.25,0.9299999999999999,0,0,0,0,0,0,10,10,6,11.29,11.31,7.08,0,0,0.58,0.59,0,0,16.94,58.519999999999996,17.19,18.36,56.9,12.299999999999999,-3.2399999999999984,-3.2400000000000007,30.849999999999994,30.839999999999996,6.590000000000007,-0.2400000000000002,-0.25,-0.9299999999999999,0,0,0,-1.2899999999999991,-1.31,-1.0799999999999998,-0.58,-0.59,1.4199999999999982,-1.6199999999999963,-4.890000000000001,382,344.57,37.43000000000001,2,3.1799999999999997,-1.18,16,18.39,-2.3899999999999997,69.2,75.71,-6.509999999999997
2020,ARI,1,2020_01_ARI_SF,00-0035228,Kyler Murray,QB,40,0,13,192,0,26,0,28.67,0,230,0,91,270.24,0,75.43,1,0,1,0.47,0,0.07,0,0,0,0,0,0,12,0,4,11.58,0,2.96,1,0,0.56,0,0,0,11.56,0,7.97,11.2,0,15.1,321,345.67,2,0.54,16,14.54,26.299999999999997,19.53,-2.6700000000000017,0,-40.24000000000001,0,15.569999999999993,0.53,0,0.9299999999999999,0,0,0,0.41999999999999993,0,1.04,0.43999999999999995,0,-0.3600000000000012,0,7.13,-24.670000000000016,1.46,1.4600000000000009,6.769999999999996,40,40,36,192,192,26,26,28.67,28.68,230,230,180,270.24,270.26,175.03,1,1,2,0.47,0.46,0.73,0,0,0,0,0,0,12,12,13,11.58,11.58,9.93,1,1,0.56,0.5700000000000001,0,0,11.56,58.510000000000005,21.89,11.2,55,30,-2.6700000000000017,-2.6800000000000006,-40.24000000000001,-40.25999999999999,4.969999999999989,0.53,0.5399999999999999,1.27,0,0,0,0.41999999999999993,0.4199999999999998,3.0700000000000003,0.43999999999999995,0.42999999999999994,-0.3600000000000012,-3.5100000000000002,8.11,410,445.28999999999996,-35.29,3,1.19,1.81,25,21.509999999999998,3.49,85,80.4,4.6
2020,ARI,1,2020_01_ARI_SF,00-0030564,DeAndre Hopkins,WR,0,16,0,0,103,0,14,0,11.56,0,151,0,0,118.96,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,8,0,0,6.16,0,0,0,0,0.27,0,0,0,24.03,0,0,29.1,0,151,118.96,0,0.1,8,6.16,29.1,24.03,0,2.4399999999999995,0,32.040000000000006,0,0,-0.1,0,0,0,0,0,1.8399999999999999,0,0,-0.27,0,5.07,0,32.040000000000006,-0.1,1.8399999999999999,5.07,40,40,36,192,192,26,26,28.67,28.68,230,230,180,270.24,270.26,175.03,1,1,2,0.47,0.46,0.73,0,0,0,0,0,0,12,12,13,11.58,11.58,9.93,1,1,0.56,0.5700000000000001,0,0,11.56,58.510000000000005,21.89,11.2,55,30,-2.6700000000000017,-2.6800000000000006,-40.24000000000001,-40.25999999999999,4.969999999999989,0.53,0.5399999999999999,1.27,0,0,0,0.41999999999999993,0.4199999999999998,3.0700000000000003,0.43999999999999995,0.42999999999999994,-0.3600000000000012,-3.5100000000000002,8.11,410,445.28999999999996,-35.29,3,1.19,1.81,25,21.509999999999998,3.49,85,80.4,4.6
2020,ARI,1,2020_01_ARI_SF,00-0022921,Larry Fitzgerald,WR,0,5,0,0,15,0,4,0,3.88,0,34,0,0,32.6,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,2,0,0,1.41,0,0,0,0,0.06,0,0,0,7.22,0,0,7.4,0,34,32.6,0,0.01,2,1.41,7.4,7.22,0,0.1200000000000001,0,1.3999999999999986,0,0,-0.01,0,0,0,0,0,0.5900000000000001,0,0,-0.06,0,0.1800000000000006,0,1.3999999999999986,-0.01,0.5900000000000001,0.1800000000000006,40,40,36,192,192,26,26,28.67,28.68,230,230,180,270.24,270.26,175.03,1,1,2,0.47,0.46,0.73,0,0,0,0,0,0,12,12,13,11.58,11.58,9.93,1,1,0.56,0.5700000000000001,0,0,11.56,58.510000000000005,21.89,11.2,55,30,-2.6700000000000017,-2.6800000000000006,-40.24000000000001,-40.25999999999999,4.969999999999989,0.53,0.5399999999999999,1.27,0,0,0,0.41999999999999993,0.4199999999999998,3.0700000000000003,0.43999999999999995,0.42999999999999994,-0.3600000000000012,-3.5100000000000002,8.11,410,445.28999999999996,-35.29,3,1.19,1.81,25,21.509999999999998,3.49,85,80.4,4.6
2020,ARI,1,2020_01_ARI_SF,NA,NA,NA,0,3,0,0,0,0,0,0,1.35,0,0,0,0,8.24,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0.26,0,0,0,0,0.02,0,0,0,2.22,0,0,0,0,0,8.24,0,0.01,0,0.26,0,2.22,0,-1.35,0,-8.24,0,0,-0.01,0,0,0,0,0,-0.26,0,0,-0.02,0,-2.22,0,-8.24,-0.01,-0.26,-2.22,40,40,36,192,192,26,26,28.67,28.68,230,230,180,270.24,270.26,175.03,1,1,2,0.47,0.46,0.73,0,0,0,0,0,0,12,12,13,11.58,11.58,9.93,1,1,0.56,0.5700000000000001,0,0,11.56,58.510000000000005,21.89,11.2,55,30,-2.6700000000000017,-2.6800000000000006,-40.24000000000001,-40.25999999999999,4.969999999999989,0.53,0.5399999999999999,1.27,0,0,0,0.41999999999999993,0.4199999999999998,3.0700000000000003,0.43999999999999995,0.42999999999999994,-0.3600000000000012,-3.5100000000000002,8.11,410,445.28999999999996,-35.29,3,1.19,1.81,25,21.509999999999998,3.49,85,80.4,4.6
2020,SF,1,2020_01_ARI_SF,00-0031687,Raheem Mostert,RB,0,5,15,0,14,0,4,0,3.43,0,95,56,0,31.28,68.57,0,1,0,0,0.02,0.61,0,0,0,0,0,0,0,3,3,0,1.47,3.86,0,0,0,0.06,0,0,0,6.7,10.49,0,19.5,5.6,151,99.85,1,0.63,6,5.33,25.1,17.19,0,0.5699999999999998,0,63.72,-12.569999999999993,0,0.98,-0.61,0,0,0,0,1.53,-0.8599999999999999,0,-0.06,0,12.8,-4.890000000000001,51.150000000000006,0.37,0.6699999999999999,7.91,33,33,25,220,220,19,19,22.24,22.240000000000002,259,259,123,228.15,228.16,116.41,2,2,0,2.24,2.25,0.9299999999999999,0,0,0,0,0,0,10,10,6,11.29,11.31,7.08,0,0,0.58,0.59,0,0,16.94,58.519999999999996,17.19,18.36,56.9,12.299999999999999,-3.2399999999999984,-3.2400000000000007,30.849999999999994,30.839999999999996,6.590000000000007,-0.2400000000000002,-0.25,-0.9299999999999999,0,0,0,-1.2899999999999991,-1.31,-1.0799999999999998,-0.58,-0.59,1.4199999999999982,-1.6199999999999963,-4.890000000000001,382,344.57,37.43000000000001,2,3.1799999999999997,-1.18,16,18.39,-2.3899999999999997,69.2,75.71,-6.509999999999997
2020,ARI,1,2020_01_ARI_SF,00-0033118,Kenyan Drake,RB,0,2,16,0,-6,0,2,0,1.7,0,5,60,0,10.46,69.15,0,0,1,0,0,0.64,0,0,0,0,0,0,0,0,6,0,0.17,4.68,0,0,0,0.01,0,0,0,2.77,10.73,0,2.5,12,65,79.61000000000001,1,0.64,6,4.85,14.5,13.5,0,0.30000000000000004,0,-5.460000000000001,-9.150000000000006,0,0,0.36,0,0,0,0,-0.17,1.3200000000000003,0,-0.01,0,-0.27,1.2699999999999996,-14.610000000000014,0.36,1.1500000000000004,1,40,40,36,192,192,26,26,28.67,28.68,230,230,180,270.24,270.26,175.03,1,1,2,0.47,0.46,0.73,0,0,0,0,0,0,12,12,13,11.58,11.58,9.93,1,1,0.56,0.5700000000000001,0,0,11.56,58.510000000000005,21.89,11.2,55,30,-2.6700000000000017,-2.6800000000000006,-40.24000000000001,-40.25999999999999,4.969999999999989,0.53,0.5399999999999999,1.27,0,0,0,0.41999999999999993,0.4199999999999998,3.0700000000000003,0.43999999999999995,0.42999999999999994,-0.3600000000000012,-3.5100000000000002,8.11,410,445.28999999999996,-35.29,3,1.19,1.81,25,21.509999999999998,3.49,85,80.4,4.6
2020,ARI,1,2020_01_ARI_SF,00-0034775,Christian Kirk,WR,0,5,0,0,70,0,1,0,2.91,0,0,0,0,45.44,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,1.59,0,0,0,0,0.14,0,0,0,7.79,0,0,1,0,0,45.44,0,0.06,0,1.59,1,7.79,0,-1.9100000000000001,0,-45.44,0,0,-0.06,0,0,0,0,0,-1.59,0,0,-0.14,0,-6.79,0,-45.44,-0.06,-1.59,-6.79,40,40,36,192,192,26,26,28.67,28.68,230,230,180,270.24,270.26,175.03,1,1,2,0.47,0.46,0.73,0,0,0,0,0,0,12,12,13,11.58,11.58,9.93,1,1,0.56,0.5700000000000001,0,0,11.56,58.510000000000005,21.89,11.2,55,30,-2.6700000000000017,-2.6800000000000006,-40.24000000000001,-40.25999999999999,4.969999999999989,0.53,0.5399999999999999,1.27,0,0,0,0.41999999999999993,0.4199999999999998,3.0700000000000003,0.43999999999999995,0.42999999999999994,-0.3600000000000012,-3.5100000000000002,8.11,410,445.28999999999996,-35.29,3,1.19,1.81,25,21.509999999999998,3.49,85,80.4,4.6
2020,SF,1,2020_01_ARI_SF,00-0033292,Trent Taylor,WR,0,5,0,0,33,0,2,0,3.07,0,7,0,0,25.7,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,1.99,0,0,0,0,0.13,0,0,0,8.62,0,0,2.7,0,7,25.7,0,0.5,0,1.99,2.7,8.62,0,-1.0699999999999998,0,-18.7,0,0,-0.5,0,0,0,0,0,-1.99,0,0,-0.13,0,-5.919999999999999,0,-18.7,-0.5,-1.99,-5.919999999999999,33,33,25,220,220,19,19,22.24,22.240000000000002,259,259,123,228.15,228.16,116.41,2,2,0,2.24,2.25,0.9299999999999999,0,0,0,0,0,0,10,10,6,11.29,11.31,7.08,0,0,0.58,0.59,0,0,16.94,58.519999999999996,17.19,18.36,56.9,12.299999999999999,-3.2399999999999984,-3.2400000000000007,30.849999999999994,30.839999999999996,6.590000000000007,-0.2400000000000002,-0.25,-0.9299999999999999,0,0,0,-1.2899999999999991,-1.31,-1.0799999999999998,-0.58,-0.59,1.4199999999999982,-1.6199999999999963,-4.890000000000001,382,344.57,37.43000000000001,2,3.1799999999999997,-1.18,16,18.39,-2.3899999999999997,69.2,75.71,-6.509999999999997
